,Count_update,Count_comment,Count_funder,Count_photo,Amount_goal,Start_month,End_month,Duration,Min_perk,No_min_perk,Max_perk,No_max_perk,Median_perk,No_med_perk,Total_perk,FB_like,FB_talking,Youtube_avg_duration,Youtube_avg_view_count,Youtube_avg_rating,US,newtype,status,lat,lon,recoded_country,Mintotal,Maxtotal,Mediantotal
589,2,5,8,0.0,250000,11,12,48.0,10,0,3000,0,175.0,0,8,0,0,0.0,0.0,0.0,1,0,3,36.114646,-115.172816,0,0,0,0.0
590,0,7,32,0.0,35000,8,9,35.0,2,1,2,1,2.0,1,13,0,0,139.0,596.0,5.0,0,1,3,51.528489999999998,-0.084727999999999998,6,2,2,2.0
591,0,9,31,0.0,10000,2,3,42.0,25,5,150,6,50.0,9,3,0,0,0.0,0.0,0.0,0,0,3,17.059416899999999,-96.721621900000002,42,125,900,450.0
592,3,7,10,2.0,10000,6,7,30.0,10,1,10000,0,200.0,0,12,0,0,0.0,0.0,0.0,1,0,3,38.909705700000004,-77.065356499999993,0,10,0,0.0
593,11,30,32,1.0,152000,2,3,30.0,20,16,10000,0,200.0,3,7,0,0,0.0,0.0,0.0,1,0,3,40.7143528,-74.005973100000006,0,320,0,600.0
594,1,6,20,0.0,1500,6,7,8.0,5,1,500,0,37.5,0,8,357,0,0.0,0.0,0.0,1,0,1,44.983333999999999,-93.266670000000005,0,5,0,0.0
595,3,38,16,5.0,100000,8,9,31.0,25,0,10000,0,575.0,0,6,0,0,333.0,1156.0,5.0,1,0,3,32.780139900000002,-96.800451100000004,0,0,0,0.0
596,0,8,10,0.0,10013,10,12,60.0,25,1,810,0,219.0,0,6,1751,2,0.0,0.0,0.0,0,0,3,48.428420699999997,-123.36564439999999,2,25,0,0.0
597,0,5,33,1.0,60000,11,12,32.0,5,1,1000,0,45.0,0,10,0,0,336.6666666667,1492728.66666667,3.3043557667000001,0,0,3,43.653225999999997,-79.383184299999996,2,5,0,0.0
598,0,2,10,2.0,6500,11,1,60.0,3,0,1000,0,162.5,0,6,0,0,0.0,0.0,0.0,1,0,3,0.0,0.0,0,0,0,0.0
599,1,46,95,1.0,1000,5,6,19.0,1,1,121,3,44.0,8,11,0,0,0.0,0.0,0.0,0,1,1,47.497911999999999,19.040234999999999,1,1,363,352.0
600,0,6,13,1.0,10000,10,11,33.0,10,1,1000,1,75.0,0,6,2574,1,0.0,0.0,0.0,1,0,3,33.4255104,-111.9400054,0,10,1000,0.0
601,0,16,21,5.0,250000,11,12,45.0,1,1,10000,0,240.0,1,9,0,0,650.0,1618207.5,4.1319001799999997,1,1,3,0.0,0.0,0,1,0,240.0
