Count_update,Count_comment,Count_funder,Count_photo,Amount_goal,Start_month,End_month,Duration,Min_perk,No_min_perk,Max_perk,No_max_perk,Median_perk,No_med_perk,Total_perk,FB_like,FB_talking,Youtube_avg_duration,Youtube_avg_view_count,Youtube_avg_rating,US,newtype,status,lat,lon,recoded_country,Mintotal,Maxtotal,Mediantotal
2,4,20,0,1120,11,12,26,10,11,305,1,250,0,5,1023,10,549.3636363636,123.5454545455,5,0,1,1,51.95,85.95,18,110,305,0
4,35,19,0,7200,7,8,21,10,10,120,3,99,0,3,0,0,0,0,0,1,1,3,40.65,-73.95,0,100,360,0
9,15,22,8,50000,5,7,50,10,2,2500,0,60,0,6,0,0,0,0,0,1,0,3,39.2903848,-76.6121893,0,20,0,0
14,62,20,7,15000,6,8,43,10,0,1500,0,60,4,5,0,0,0,0,0,0,0,3,49.261226,-123.1139268,2,0,0,240
0,6,17,0,50000,6,7,30,15,1,750,0,100,0,6,0,0,194,29,0,1,0,3,41.8781136,-87.6297982,0,15,0,0
38,14,61,25,45000,6,7,50,2,17,2,17,2,17,6,0,0,0,0,0,0,0,3,-37.814107,144.96328,10,34,34,34
0,7,4,2,20000,11,12,28,10,1,5000,0,100,2,5,0,0,0,0,0,0,0,3,0,0,6,10,0,200
0,24,11,8,160000,10,12,45,5,0,15000,0,125,0,6,0,0,625.25,49199.15,4.465631815,1,0,3,43.6187102,-116.2146068,0,0,0,0
7,9,8,16,136000,9,11,60,1,0,10000,0,100,0,9,72,2,2681,163,5,1,0,3,30.267153,-97.7430608,0,0,0,0
0,24,35,7,25000,6,7,30,2,4,1000,0,50,2,7,0,0,132.7,135.7,2,0,0,3,43.653226,-79.3831843,2,8,0,100
2,9,29,3,45000,9,11,45,1,3,5000,0,100,2,11,277,6,0,0,0,1,0,3,33.7489954,-84.3879824,0,3,0,200
0,1,3,0,2500,4,6,60,50,0,500,2,150,1,3,0,0,0,0,0,0,1,3,46.8572621,9.5267305,7,0,1000,150
0,9,7,0,150000,9,10,44,5,1,5000,0,349,0,10,0,0,114,670.5,1.5,1,0,3,37.4852152,-122.2363548,0,5,0,0
15,24,30,14,5000,3,7,120,10,9,1000,0,150,0,6,0,0,0,0,0,0,0,3,51.5112139,-0.1198244,6,90,0,0
0,8,15,0,50000,2,5,107,1,0,500,1,30,0,6,0,0,0,0,0,1,0,3,37.3393857,-121.8949555,0,0,500,0
0,14,11,0,30000,6,8,49,5,1,995,0,160,0,9,16,0,368.4210526316,126744.105263158,4.4625795895,1,1,3,38.6270025,-90.1994042,0,5,0,0
26,16,22,19,5000,8,9,30,1,0,2000,0,100,0,10,0,0,202.8,870296.266666667,2.9189534667,1,0,3,40.5246711,-111.8638226,0,0,0,0
1,47,30,0,10000,12,2,60,1,2,5000,0,90,0,12,0,0,0,0,0,1,0,3,0,0,0,2,0,0
1,0,9,0,100000,11,12,24,0,0,0,0,0,0,0,532,5,0,0,0,0,0,3,0,0,14,0,0,0
0,9,9,1,10000,11,1,60,1,0,1200,0,120,0,7,0,0,21.35,30,0.25,1,0,3,37.7749295,-122.4194155,0,0,0,0
1,2,21,2,45000,10,11,31,2,0,2000,0,137.5,0,12,0,0,0,0,0,1,0,3,40.7143528,-74.0059731,0,0,0,0
1,9,15,3,80000,8,9,39,25,1,10000,0,65,3,7,0,0,0,0,0,0,0,3,28.635308,77.22496,19,25,0,195
